CODIGO,date,value
24050060,2025-04-30,4.3
24030680,2025-04-30,2.5
24030750,2025-04-30,9.2
24010240,2025-04-30,0
23180100,2025-04-30,87
23147020,2025-04-30,0
16040050,2025-04-30,4
37050040,2025-04-30,60.8
16010040,2025-04-30,0
24020150,2025-04-30,9
16055020,2025-04-30,15
23190130,2025-04-30,10
23185010,2025-04-30,7.5
23190560,2025-04-30,0
24030330,2025-04-30,5.1
24050070,2025-04-30,13.4
24030350,2025-04-30,0
24015300,2025-04-30,0
24035070,2025-04-30,3.5
24015220,2025-04-30,0
24035120,2025-04-30,0
24035430,2025-04-30,0
24035260,2025-04-30,4.1
24035330,2025-04-30,1
24035340,2025-04-30,3.2
35075020,2025-04-30,1
35085050,2025-04-30,3.4
35215020,2025-04-30,46.8
35090050,2025-04-30,10.3
24030230,2025-04-30,0
23120250,2025-04-30,4.5
23125140,2025-04-30,6.2
24010180,2025-04-30,0
24030260,2025-04-30,1.5
24030310,2025-04-30,0
23125100,2025-04-30,0
35075010,2025-04-30,0
35075040,2025-04-30,0.7
35210050,2025-04-30,0
24015090,2025-04-30,0
35230040,2025-04-30,0
36025010,2025-04-30,0
35235040,2025-04-30,4.5
35235050,2025-04-30,0
24035040,2025-04-30,0
35070080,2025-04-30,0
35070040,2025-04-30,0
35070210,2025-04-30,0
35070020,2025-04-30,0
35080060,2025-04-30,2.4
36030030,2025-04-30,20.3
35070260,2025-04-30,0
35070070,2025-04-30,0
35070100,2025-04-30,0
35080070,2025-04-30,0
24030240,2025-04-30,0
24010830,2025-04-30,0
24010810,2025-04-30,0
23125090,2025-04-30,8.2
35070010,2025-04-30,0
35070180,2025-04-30,2
23120050,2025-04-30,
24030800,2025-04-30,0
24010630,2025-04-30,0
24030400,2025-04-30,0
35080010,2025-04-30,0
